epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2134,1.29361,3.61338,1.44654,0.19745,0.31198,0.14349,0.07637,1.67411,3.66537,1.72109,0.000236512,0.000236512,0.000236512
2,42.292,1.42827,3.15413,1.55001,0.18312,0.33671,0.1635,0.09758,1.63844,2.75943,1.68788,0.000474432,0.000474432,0.000474432
3,60.1548,1.4884,3.03885,1.59831,0.1876,0.23208,0.10403,0.05608,1.78536,3.0677,1.81869,0.000712029,0.000712029,0.000712029
4,78.1594,1.54925,2.96222,1.65098,0.18598,0.24553,0.11991,0.0707,1.76276,2.69865,1.80604,0.00071291,0.00071291,0.00071291
5,96.0022,1.51021,2.78462,1.63152,0.18215,0.27313,0.14393,0.08237,1.72081,2.834,1.80645,0.000712064,0.000712064,0.000712064
6,113.365,1.48324,2.67474,1.61176,0.21921,0.30136,0.17832,0.10393,1.63874,2.65122,1.75529,0.000710976,0.000710976,0.000710976
7,131.378,1.46109,2.55655,1.58566,0.24532,0.28731,0.17288,0.09333,1.65436,2.6351,1.77706,0.000709649,0.000709649,0.000709649
8,148.902,1.43085,2.48507,1.56823,0.2828,0.33354,0.22958,0.14024,1.50578,2.40981,1.61388,0.000708082,0.000708082,0.000708082
9,166.271,1.406,2.39283,1.54508,0.28984,0.33309,0.24105,0.14593,1.60689,2.46939,1.66792,0.000706277,0.000706277,0.000706277
10,183.582,1.40775,2.31671,1.54488,0.28204,0.33509,0.2242,0.15022,1.515,2.48901,1.58909,0.000704235,0.000704235,0.000704235
11,201.232,1.38398,2.28841,1.51742,0.27208,0.40297,0.2422,0.15346,1.52344,2.38988,1.63978,0.000701957,0.000701957,0.000701957
12,218.507,1.37265,2.22656,1.5144,0.28015,0.37778,0.23635,0.15289,1.53781,2.5614,1.60058,0.000699446,0.000699446,0.000699446
13,235.693,1.34828,2.18405,1.49874,0.29557,0.37777,0.26561,0.1808,1.47682,2.31841,1.56613,0.000696702,0.000696702,0.000696702
14,252.99,1.33681,2.15257,1.49214,0.29597,0.41269,0.27478,0.18044,1.4516,2.38011,1.56049,0.000693728,0.000693728,0.000693728
15,270.635,1.32589,2.08976,1.48302,0.27463,0.41493,0.26818,0.18303,1.46745,2.36088,1.58033,0.000690525,0.000690525,0.000690525
16,288.255,1.32017,2.05041,1.4753,0.28964,0.41424,0.27574,0.18968,1.48495,2.38988,1.56317,0.000687097,0.000687097,0.000687097
17,305.737,1.29932,2.02032,1.45738,0.29736,0.38851,0.28192,0.19428,1.44656,2.34845,1.55439,0.000683444,0.000683444,0.000683444
18,322.828,1.29736,1.96317,1.4463,0.32767,0.40371,0.31193,0.20551,1.45232,2.19837,1.54987,0.000679571,0.000679571,0.000679571
19,340.124,1.28487,1.95722,1.44174,0.34776,0.43647,0.29945,0.20129,1.46947,2.31176,1.56692,0.000675478,0.000675478,0.000675478
20,357.618,1.27728,1.90663,1.4306,0.3301,0.40861,0.29876,0.20827,1.43034,2.18631,1.53283,0.00067117,0.00067117,0.00067117
21,375.041,1.25922,1.90127,1.42431,0.33311,0.38884,0.29599,0.19724,1.45702,2.29371,1.57874,0.000666649,0.000666649,0.000666649
22,392.448,1.24994,1.8483,1.41712,0.31386,0.41581,0.31458,0.21171,1.44952,2.22239,1.53338,0.000661919,0.000661919,0.000661919
23,409.95,1.23712,1.8265,1.40197,0.34894,0.3922,0.28675,0.19344,1.44602,2.30728,1.54614,0.000656981,0.000656981,0.000656981
24,426.997,1.2293,1.78866,1.39288,0.36218,0.42431,0.31865,0.21577,1.44408,2.1621,1.54678,0.000651841,0.000651841,0.000651841
25,444.517,1.22717,1.7609,1.3954,0.32484,0.46124,0.31887,0.21894,1.3976,2.19147,1.50362,0.000646501,0.000646501,0.000646501
26,462.469,1.21824,1.73715,1.38804,0.305,0.45477,0.32075,0.2218,1.43768,2.14723,1.54174,0.000640965,0.000640965,0.000640965
27,480.278,1.20952,1.71099,1.37674,0.34842,0.43798,0.33599,0.2275,1.43392,2.20106,1.53385,0.000635237,0.000635237,0.000635237
28,498.138,1.20579,1.69875,1.3723,0.32363,0.44408,0.30529,0.20102,1.45235,2.25288,1.56589,0.00062932,0.00062932,0.00062932
29,515.657,1.1949,1.66034,1.37145,0.35196,0.46431,0.3373,0.22499,1.42755,2.11257,1.53055,0.00062322,0.00062322,0.00062322
30,533.585,1.18529,1.64001,1.35796,0.34397,0.45995,0.33164,0.22691,1.40264,2.19294,1.51109,0.000616939,0.000616939,0.000616939
31,551.168,1.18145,1.61225,1.35724,0.35486,0.44316,0.34046,0.2383,1.42436,2.16612,1.53854,0.000610483,0.000610483,0.000610483
32,568.542,1.17131,1.58982,1.34927,0.33168,0.47169,0.33694,0.23554,1.41898,2.22879,1.52524,0.000603855,0.000603855,0.000603855
33,585.704,1.16213,1.57364,1.34553,0.32966,0.49176,0.3343,0.23028,1.42196,2.16056,1.51498,0.000597061,0.000597061,0.000597061
34,603.223,1.15816,1.54949,1.34616,0.34404,0.45765,0.3345,0.23105,1.44777,2.1662,1.55292,0.000590104,0.000590104,0.000590104
35,619.329,1.15744,1.52966,1.33144,0.32192,0.45396,0.31052,0.21115,1.44088,2.21855,1.55215,0.000582991,0.000582991,0.000582991
36,635.673,1.14079,1.50611,1.32164,0.34447,0.48051,0.34444,0.23744,1.40106,2.16276,1.51275,0.000575725,0.000575725,0.000575725
37,652.348,1.14336,1.48634,1.32145,0.34128,0.45299,0.31487,0.20848,1.393,2.19234,1.51741,0.000568311,0.000568311,0.000568311
38,668.475,1.1265,1.46178,1.31559,0.36167,0.47933,0.35298,0.24672,1.40813,2.18384,1.53271,0.000560755,0.000560755,0.000560755
39,685.871,1.12324,1.44329,1.31158,0.35996,0.44668,0.33501,0.23447,1.4121,2.16255,1.5191,0.000553062,0.000553062,0.000553062
40,703.443,1.12236,1.4199,1.30045,0.34047,0.48072,0.32611,0.22595,1.41396,2.19312,1.52479,0.000545237,0.000545237,0.000545237
41,721.094,1.10993,1.39988,1.29079,0.33977,0.47658,0.32402,0.21504,1.45419,2.18626,1.56188,0.000537285,0.000537285,0.000537285
42,738.779,1.10029,1.38739,1.28962,0.36414,0.47102,0.34238,0.23159,1.43403,2.15906,1.55275,0.000529212,0.000529212,0.000529212
43,756.334,1.10012,1.36013,1.291,0.40447,0.46186,0.35801,0.25348,1.4183,2.10241,1.53039,0.000521024,0.000521024,0.000521024
44,773.701,1.09264,1.34503,1.28381,0.37152,0.44772,0.34383,0.23848,1.41249,2.18022,1.52899,0.000512726,0.000512726,0.000512726
45,791.131,1.08395,1.33487,1.2717,0.36952,0.44067,0.33385,0.23349,1.42486,2.18963,1.52282,0.000504323,0.000504323,0.000504323
46,808.684,1.08015,1.32615,1.2667,0.40028,0.48996,0.37556,0.26359,1.40597,2.18632,1.51939,0.000495822,0.000495822,0.000495822
47,826.504,1.06671,1.29341,1.26613,0.38558,0.46059,0.34756,0.24763,1.41471,2.16972,1.51796,0.000487228,0.000487228,0.000487228
48,843.816,1.07436,1.29324,1.25545,0.38234,0.4587,0.35378,0.25206,1.42392,2.25172,1.52928,0.000478547,0.000478547,0.000478547
49,861.337,1.06039,1.25798,1.25395,0.38246,0.45278,0.35304,0.2484,1.433,2.25217,1.52803,0.000469786,0.000469786,0.000469786
50,878.822,1.05397,1.25323,1.24489,0.38795,0.46459,0.35358,0.24692,1.41489,2.2745,1.52776,0.00046095,0.00046095,0.00046095
51,896.404,1.04458,1.229,1.2423,0.42924,0.43288,0.35753,0.25571,1.40822,2.18984,1.51225,0.000452044,0.000452044,0.000452044
52,913.738,1.03924,1.21401,1.24223,0.38677,0.47916,0.35823,0.24985,1.41756,2.23796,1.52301,0.000443077,0.000443077,0.000443077
53,931.329,1.0308,1.18895,1.23573,0.40322,0.45869,0.36026,0.26283,1.41037,2.2026,1.52145,0.000434052,0.000434052,0.000434052
54,948.687,1.03378,1.20068,1.23644,0.40869,0.4263,0.34252,0.24796,1.41707,2.28789,1.54654,0.000424978,0.000424978,0.000424978
55,965.915,1.02722,1.16012,1.22449,0.38482,0.44469,0.36983,0.26388,1.4341,2.23136,1.53589,0.000415859,0.000415859,0.000415859
56,983.64,1.02368,1.16512,1.2237,0.42082,0.44908,0.37006,0.26761,1.41262,2.26597,1.52644,0.000406702,0.000406702,0.000406702
57,1001.08,1.00593,1.13444,1.21898,0.40574,0.45824,0.36896,0.26817,1.41116,2.23589,1.5291,0.000397513,0.000397513,0.000397513
58,1018.63,1.01145,1.12892,1.22244,0.36683,0.48817,0.36394,0.26778,1.40898,2.30326,1.51008,0.0003883,0.0003883,0.0003883
59,1036.02,0.99543,1.10434,1.20497,0.39683,0.44812,0.36001,0.26776,1.4226,2.29076,1.54485,0.000379067,0.000379067,0.000379067
60,1053.32,0.99737,1.11087,1.20195,0.42819,0.44354,0.36019,0.26115,1.40583,2.27077,1.5188,0.000369822,0.000369822,0.000369822
61,1070.32,0.9894,1.08876,1.2029,0.37653,0.47189,0.34323,0.24866,1.41634,2.28228,1.52133,0.00036057,0.00036057,0.00036057
62,1087.85,0.9841,1.08145,1.19387,0.45076,0.41403,0.37021,0.27043,1.42555,2.30988,1.53495,0.000351318,0.000351318,0.000351318
63,1105.29,0.97899,1.05341,1.19188,0.39971,0.4417,0.35149,0.25333,1.41317,2.29616,1.52832,0.000342073,0.000342073,0.000342073
64,1122.57,0.98063,1.04784,1.19214,0.39036,0.44697,0.35445,0.26,1.40894,2.29432,1.51814,0.00033284,0.00033284,0.00033284
65,1140.4,0.96759,1.0332,1.18714,0.42772,0.43046,0.36457,0.26553,1.40446,2.34015,1.51689,0.000323627,0.000323627,0.000323627
66,1157.77,0.95608,1.01742,1.18033,0.37312,0.47321,0.35791,0.2585,1.41785,2.28654,1.53204,0.000314438,0.000314438,0.000314438
67,1174.92,0.96291,1.01675,1.17828,0.4119,0.45786,0.36708,0.26584,1.419,2.30239,1.54805,0.000305281,0.000305281,0.000305281
68,1192.1,0.95305,1.00362,1.17329,0.40823,0.47695,0.37664,0.27325,1.3995,2.30183,1.51997,0.000296162,0.000296162,0.000296162
69,1209.74,0.94812,0.99767,1.17156,0.41938,0.45458,0.37305,0.27266,1.41029,2.33357,1.52689,0.000287088,0.000287088,0.000287088
70,1227.29,0.93472,0.98472,1.16404,0.44774,0.42311,0.36996,0.27251,1.42077,2.39015,1.53981,0.000278063,0.000278063,0.000278063
71,1244.8,0.9423,0.98145,1.16552,0.40913,0.46455,0.37677,0.2763,1.42463,2.37264,1.54089,0.000269096,0.000269096,0.000269096
72,1262.58,0.92463,0.9612,1.1554,0.38628,0.48151,0.36937,0.26551,1.42803,2.32129,1.53968,0.00026019,0.00026019,0.00026019
73,1280.04,0.91942,0.94011,1.15628,0.40807,0.43882,0.36823,0.26499,1.42218,2.36726,1.53027,0.000251354,0.000251354,0.000251354
74,1297.43,0.91947,0.93813,1.15021,0.38936,0.45625,0.35681,0.25687,1.43515,2.36876,1.54347,0.000242593,0.000242593,0.000242593
75,1315.37,0.91734,0.93733,1.14562,0.4339,0.425,0.36944,0.26756,1.44062,2.39149,1.54719,0.000233912,0.000233912,0.000233912
76,1332.43,0.9108,0.91861,1.13983,0.39094,0.46115,0.36733,0.26592,1.44467,2.40749,1.55469,0.000225318,0.000225318,0.000225318
77,1349.89,0.90631,0.9043,1.13663,0.38602,0.45982,0.36209,0.25882,1.43989,2.42675,1.5494,0.000216817,0.000216817,0.000216817
78,1367.25,0.90394,0.90646,1.13726,0.38247,0.47816,0.3664,0.26312,1.44621,2.4296,1.55206,0.000208414,0.000208414,0.000208414
79,1384.93,0.89465,0.88697,1.1364,0.37019,0.48382,0.37157,0.26807,1.44124,2.40458,1.554,0.000200116,0.000200116,0.000200116
80,1402.32,0.89385,0.88299,1.13095,0.39264,0.4379,0.3613,0.26029,1.45741,2.3829,1.56707,0.000191928,0.000191928,0.000191928
81,1419.66,0.88644,0.87716,1.1279,0.34761,0.50286,0.36405,0.266,1.44319,2.38745,1.55668,0.000183855,0.000183855,0.000183855
82,1435.99,0.88164,0.87007,1.12121,0.36626,0.47233,0.36994,0.26812,1.44163,2.43025,1.55537,0.000175903,0.000175903,0.000175903
83,1453.57,0.87926,0.87186,1.12203,0.39337,0.46921,0.35654,0.25858,1.44491,2.44003,1.55981,0.000168078,0.000168078,0.000168078
84,1471.17,0.86676,0.86181,1.11929,0.3779,0.48337,0.35899,0.25691,1.43724,2.4101,1.55309,0.000160385,0.000160385,0.000160385
85,1488.64,0.86349,0.84388,1.11156,0.39458,0.44956,0.37287,0.26942,1.43524,2.42919,1.55712,0.000152829,0.000152829,0.000152829
86,1506.35,0.86129,0.84,1.11077,0.41535,0.43781,0.36825,0.26569,1.44437,2.45894,1.56246,0.000145415,0.000145415,0.000145415
87,1523.89,0.85562,0.83106,1.10454,0.41854,0.43034,0.3585,0.25893,1.44473,2.43569,1.56398,0.000138149,0.000138149,0.000138149
88,1541.14,0.85331,0.82998,1.11059,0.3892,0.45175,0.36186,0.25945,1.44615,2.46416,1.56868,0.000131036,0.000131036,0.000131036
