epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5708,1.28938,3.52857,1.43386,0.2617,0.33289,0.18755,0.11596,1.53579,2.80359,1.59167,0.000236512,0.000236512,0.000236512
2,54.3198,1.48363,2.82691,1.59745,0.21704,0.26052,0.12988,0.07483,1.69893,2.87485,1.74563,0.000474432,0.000474432,0.000474432
3,78.7749,1.56375,2.80828,1.66543,0.21548,0.18971,0.08033,0.04317,2.01407,3.03594,2.05223,0.000712029,0.000712029,0.000712029
4,102.997,1.62329,2.84139,1.72991,0.18618,0.24293,0.1208,0.07238,1.78358,2.77054,1.90296,0.00071291,0.00071291,0.00071291
5,127.369,1.56468,2.71456,1.69193,0.18571,0.25594,0.14387,0.08527,1.71833,2.66398,1.79986,0.000712064,0.000712064,0.000712064
6,151.529,1.51384,2.59255,1.6524,0.1885,0.28984,0.14164,0.08099,1.65912,2.61307,1.71917,0.000710976,0.000710976,0.000710976
7,175.67,1.4863,2.51431,1.62136,0.19174,0.31868,0.16694,0.10136,1.698,2.62034,1.74751,0.000709649,0.000709649,0.000709649
8,199.999,1.44487,2.39293,1.58731,0.25544,0.32867,0.21965,0.13017,1.61204,2.39422,1.67497,0.000708082,0.000708082,0.000708082
9,224.193,1.4061,2.30855,1.56813,0.2534,0.36656,0.22475,0.13742,1.56711,2.42489,1.64049,0.000706277,0.000706277,0.000706277
10,248.415,1.38561,2.23666,1.53608,0.26542,0.35546,0.21739,0.11436,1.67793,2.38151,1.77852,0.000704235,0.000704235,0.000704235
11,272.55,1.37053,2.19176,1.51659,0.26351,0.40749,0.26704,0.17186,1.53083,2.28212,1.6343,0.000701957,0.000701957,0.000701957
12,296.848,1.34815,2.13021,1.51292,0.32944,0.38779,0.26701,0.17232,1.49007,2.2784,1.6044,0.000699446,0.000699446,0.000699446
13,321.107,1.32272,2.08254,1.49793,0.30177,0.38948,0.26686,0.17301,1.50811,2.23708,1.61227,0.000696702,0.000696702,0.000696702
14,345.378,1.31648,2.0453,1.48928,0.29036,0.40723,0.26367,0.17216,1.49685,2.26413,1.626,0.000693728,0.000693728,0.000693728
15,369.662,1.29993,2.00259,1.47743,0.32262,0.43391,0.27298,0.18723,1.4561,2.33897,1.56401,0.000690525,0.000690525,0.000690525
16,394.04,1.28588,1.95653,1.46519,0.33479,0.43056,0.3058,0.20513,1.46306,2.33465,1.56921,0.000687097,0.000687097,0.000687097
17,418.151,1.26512,1.89888,1.44516,0.31674,0.4316,0.29037,0.19023,1.4918,2.45787,1.60339,0.000683444,0.000683444,0.000683444
18,442.288,1.25344,1.85229,1.42437,0.31979,0.41251,0.28033,0.18703,1.47463,2.38737,1.58011,0.000679571,0.000679571,0.000679571
19,466.538,1.25043,1.84472,1.42867,0.31045,0.43792,0.28474,0.18966,1.4433,2.2055,1.56417,0.000675478,0.000675478,0.000675478
20,490.878,1.22569,1.79594,1.41037,0.31886,0.45258,0.3053,0.20583,1.44381,2.16651,1.57578,0.00067117,0.00067117,0.00067117
21,515.062,1.21637,1.76991,1.41143,0.34334,0.40511,0.28533,0.19283,1.43969,2.17704,1.58155,0.000666649,0.000666649,0.000666649
22,539.131,1.20637,1.71017,1.39513,0.31396,0.44228,0.2984,0.20579,1.44259,2.20146,1.56402,0.000661919,0.000661919,0.000661919
23,563.346,1.19264,1.6846,1.38709,0.3276,0.44492,0.30945,0.21759,1.44553,2.3031,1.56519,0.000656981,0.000656981,0.000656981
