epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7218,1.33538,3.06086,1.39378,0.28425,0.43859,0.29233,0.20701,1.26519,2.48961,1.35392,0.000235295,0.000235295,0.000235295
2,37.1094,1.37495,2.00102,1.40562,0.26571,0.3121,0.24463,0.1629,1.40687,2.33056,1.46298,0.000473215,0.000473215,0.000473215
3,54.1726,1.41189,1.95921,1.43593,0.16761,0.34647,0.15437,0.08297,1.50693,2.71782,1.54777,0.000710813,0.000710813,0.000710813
4,71.3709,1.44568,2.01734,1.48088,0.27447,0.30939,0.2334,0.14156,1.50188,2.53833,1.569,0.00071291,0.00071291,0.00071291
5,88.553,1.43259,1.94926,1.46529,0.24846,0.31947,0.20313,0.13507,1.54404,2.44293,1.62449,0.000712064,0.000712064,0.000712064
6,105.769,1.41236,1.87609,1.45871,0.36499,0.40049,0.30022,0.20973,1.40282,2.26751,1.48877,0.000710976,0.000710976,0.000710976
7,122.905,1.38553,1.82329,1.44226,0.29044,0.299,0.24824,0.17269,1.42468,2.50405,1.49271,0.000709649,0.000709649,0.000709649
8,140.034,1.35692,1.74613,1.4149,0.31526,0.35088,0.2639,0.16752,1.42907,2.27003,1.48598,0.000708082,0.000708082,0.000708082
9,157.192,1.32815,1.71568,1.39791,0.31508,0.50019,0.32846,0.2224,1.35857,2.03186,1.45794,0.000706277,0.000706277,0.000706277
10,174.412,1.31615,1.6703,1.39806,0.40737,0.35769,0.3546,0.24758,1.38444,2.05331,1.45908,0.000704235,0.000704235,0.000704235
11,191.687,1.29454,1.64415,1.38852,0.38933,0.45292,0.38484,0.2572,1.381,2.04553,1.48089,0.000701957,0.000701957,0.000701957
12,208.82,1.30544,1.55762,1.37078,0.3878,0.36168,0.31788,0.22605,1.39612,2.02883,1.44519,0.000699446,0.000699446,0.000699446
